date,avg_users,avg_download_speed,avg_upload_speed,avg_latency,congestion_rate
2025-01-01,563.06,53.84,24.29,105.76,5.0
2025-01-13,509.68,53.74,22.94,111.68,5.83
2025-01-14,505.98,53.26,23.66,104.41,10.83
2025-01-15,523.99,46.87,26.47,107.61,5.83
2025-01-16,566.14,51.32,23.65,111.01,6.67
2025-01-17,549.19,52.04,25.99,102.79,5.0
2025-01-18,534.92,53.67,24.9,103.03,3.33
2025-01-19,544.95,50.9,27.0,110.55,7.5
2025-01-20,481.88,52.67,25.34,109.27,3.33
2025-01-21,594.84,51.11,23.55,105.37,6.67
2025-01-22,537.99,52.8,24.3,109.14,5.83
2025-01-23,497.98,52.54,26.14,99.58,2.5
2025-01-24,479.99,53.24,25.38,103.72,5.83
2025-01-25,493.61,51.07,26.09,107.03,6.67
2025-01-26,547.52,52.71,26.06,100.07,5.0
2025-01-27,559.0,49.23,24.67,97.83,6.67
2025-01-28,533.81,52.62,24.28,108.91,5.0
2025-01-29,534.88,49.72,28.18,106.03,5.83
2025-01-30,525.53,55.39,25.15,106.18,8.33
2025-01-31,434.4,61.59,33.64,134.6,0.0
2025-02-01,528.53,52.68,23.75,105.65,4.17
2025-03-01,511.73,49.71,24.33,110.97,4.17
2025-04-01,519.67,53.5,24.19,100.92,5.0
2025-05-01,567.23,54.03,27.55,98.43,6.67
2025-06-01,546.13,51.07,25.63,111.96,6.67
2025-07-01,496.01,51.76,24.73,101.72,6.67
2025-08-01,512.58,50.71,24.17,104.3,6.67
2025-09-01,557.78,53.55,27.14,98.97,7.5
2025-10-01,545.11,50.12,24.46,104.25,4.17
2025-11-01,509.15,51.5,26.13,105.61,3.33
2025-12-01,557.93,54.89,24.54,99.02,2.5
