hour,avg_users,avg_download_speed,avg_upload_speed,avg_latency,congestion_rate
0,555.4,51.92,24.62,105.73,7.1
1,539.52,51.81,26.18,107.27,9.33
2,569.01,51.65,25.93,112.88,7.33
3,527.47,51.46,23.65,99.42,4.67
4,515.81,49.31,24.06,107.94,2.67
5,544.43,50.84,25.32,111.37,9.33
6,557.19,50.89,26.37,103.68,7.33
7,507.23,51.31,26.01,106.32,6.67
8,531.97,54.38,24.41,96.16,3.33
9,518.34,46.14,23.68,106.94,5.33
10,540.45,52.9,26.95,106.35,4.67
11,535.86,52.7,26.6,109.96,4.0
12,532.52,54.02,26.51,98.09,4.0
13,522.07,52.14,24.73,100.15,4.67
14,491.62,50.45,26.44,112.96,4.67
15,537.79,49.02,27.04,101.32,6.0
16,561.76,55.97,23.36,99.52,9.33
17,511.15,50.42,23.21,103.6,4.67
18,551.67,58.14,23.47,112.5,11.33
19,505.47,55.77,25.35,102.48,2.67
20,522.23,51.21,25.4,108.53,3.33
21,511.89,53.49,26.7,103.09,4.0
22,540.97,53.43,22.91,97.2,5.33
23,513.56,50.73,25.15,108.9,3.33
