tower_id,hour,weather,avg_users,avg_download_speed,avg_upload_speed,avg_latency,congestion_rate,record_count
1,0,Clear,568.83,48.18,18.87,90.9,0.0,23
1,0,Rain,565.33,51.56,19.18,75.86,0.0,6
1,0,Snow,85.0,94.57,30.34,142.01,0.0,1
1,0,Storm,507.0,90.26,26.8,162.14,0.0,1
1,1,Clear,557.32,68.4,22.04,101.99,0.0,19
1,1,Rain,557.17,50.45,35.19,102.61,16.67,6
1,1,Snow,214.0,27.16,29.48,174.0,0.0,1
1,1,Storm,587.75,44.13,21.53,114.21,0.0,4
1,2,Clear,514.32,51.21,25.72,113.73,9.09,22
1,2,Rain,648.5,18.5,35.49,104.17,25.0,4
1,2,Snow,804.67,33.1,25.5,159.3,0.0,3
1,2,Storm,884.0,42.28,37.96,184.5,100.0,1
1,3,Clear,571.48,47.28,20.24,91.4,8.0,25
1,3,Rain,475.8,71.2,15.6,106.73,20.0,5
1,4,Clear,629.8,49.04,21.51,91.58,0.0,20
1,4,Rain,528.4,40.11,25.05,141.81,0.0,5
1,4,Snow,202.67,36.83,18.24,92.25,0.0,3
1,4,Storm,301.5,45.73,31.24,81.54,0.0,2
1,5,Clear,508.15,55.51,24.74,115.88,5.0,20
1,5,Rain,509.0,71.94,25.81,159.52,25.0,4
1,5,Snow,683.0,47.05,9.72,157.95,40.0,5
1,5,Storm,653.0,74.47,45.57,172.9,0.0,1
1,6,Clear,588.47,51.57,30.51,95.44,10.53,19
1,6,Rain,509.0,58.07,33.16,132.88,0.0,4
1,6,Snow,574.6,55.13,36.22,108.13,0.0,5
1,6,Storm,326.0,94.85,17.75,164.69,0.0,2
1,7,Clear,469.44,54.01,33.63,128.78,5.56,18
1,7,Rain,358.71,49.78,29.03,133.6,14.29,7
1,7,Snow,656.25,80.57,24.51,92.34,0.0,4
1,7,Storm,873.0,55.2,22.38,162.4,100.0,1
1,8,Clear,624.35,65.1,25.52,95.96,11.76,17
1,8,Rain,477.13,77.09,20.24,79.67,0.0,8
1,8,Snow,535.67,65.17,13.91,136.21,0.0,3
1,8,Storm,147.5,27.26,31.31,95.38,0.0,2
1,9,Clear,481.22,48.97,24.85,101.81,0.0,23
1,9,Rain,508.5,38.18,14.83,99.02,0.0,4
1,9,Snow,537.0,54.0,45.36,81.0,0.0,3
1,10,Clear,576.32,58.56,22.7,108.85,9.09,22
1,10,Rain,904.0,42.85,27.68,164.45,50.0,2
1,10,Snow,538.5,37.06,29.6,119.77,0.0,4
1,10,Storm,540.5,83.28,28.84,80.75,0.0,2
1,11,Clear,500.92,52.1,25.83,110.61,0.0,24
1,11,Rain,372.67,70.5,30.53,69.11,0.0,3
1,11,Snow,538.33,75.01,26.58,147.4,0.0,3
1,12,Clear,501.73,53.78,24.65,94.64,4.55,22
1,12,Rain,614.83,52.3,24.11,103.82,0.0,6
1,12,Snow,538.0,15.37,32.88,155.39,0.0,1
1,12,Storm,936.0,16.63,36.53,71.37,0.0,1
1,13,Clear,414.77,48.17,28.48,89.89,0.0,22
1,13,Rain,608.25,25.98,28.47,64.78,0.0,4
1,13,Snow,519.75,60.14,32.88,118.67,25.0,4
1,14,Clear,497.52,54.97,28.48,108.18,8.7,23
1,14,Rain,363.33,53.11,23.12,82.1,0.0,3
1,14,Snow,342.0,86.17,25.12,56.97,0.0,1
1,14,Storm,449.67,67.46,22.58,179.97,0.0,3
1,15,Clear,521.47,42.24,30.06,89.58,5.26,19
1,15,Rain,455.5,55.39,30.06,130.51,0.0,8
1,15,Snow,810.0,77.93,25.28,45.3,0.0,2
1,15,Storm,648.0,23.82,28.7,98.15,0.0,1
1,16,Clear,488.5,54.02,24.49,103.54,5.0,20
1,16,Rain,598.83,46.54,26.51,111.79,16.67,6
1,16,Snow,175.0,42.11,10.38,88.21,0.0,1
1,16,Storm,318.67,64.48,12.11,90.7,0.0,3
1,17,Clear,527.05,51.92,25.67,120.34,0.0,19
1,17,Rain,415.0,41.33,19.96,66.14,0.0,4
1,17,Snow,434.0,18.19,10.03,62.57,0.0,2
1,17,Storm,624.0,41.32,17.98,60.35,0.0,5
1,18,Clear,481.16,57.77,25.68,103.09,5.26,19
1,18,Rain,536.33,45.55,19.51,122.04,33.33,6
1,18,Snow,513.33,58.12,23.74,130.01,0.0,3
1,18,Storm,687.0,16.4,18.98,108.36,50.0,2
1,19,Clear,433.19,48.84,24.07,88.82,4.76,21
1,19,Rain,425.5,43.86,19.85,114.65,0.0,6
1,19,Snow,594.33,44.25,27.12,136.21,0.0,3
1,20,Clear,608.0,47.65,27.82,105.82,0.0,20
1,20,Rain,535.0,58.08,30.26,129.29,16.67,6
1,20,Snow,413.0,52.86,30.72,64.13,0.0,4
1,21,Clear,306.26,52.42,25.1,105.39,0.0,23
1,21,Rain,782.83,74.17,28.61,107.4,16.67,6
