ticket_id,created_at,region,tower_id,issue_type,priority,status,resolved_at
TKT00001,2025-01-01 00:00:00,Bangalore,T076,Slow Internet,Medium,Resolved,2025-01-02 07:00:00
TKT00002,2025-01-01 01:00:00,Hyderabad,T100,Call Drop,Medium,Resolved,2025-01-02 01:00:00
TKT00003,2025-01-01 02:00:00,Delhi,T068,Network Outage,Low,Resolved,2025-01-01 16:00:00
TKT00004,2025-01-01 03:00:00,Hyderabad,T005,Network Outage,Critical,Resolved,2025-01-03 00:00:00
TKT00005,2025-01-01 04:00:00,Hyderabad,T037,No Service,High,In Progress,
TKT00006,2025-01-01 05:00:00,Mumbai,T072,Network Outage,Critical,Resolved,2025-01-02 06:00:00
TKT00007,2025-01-01 06:00:00,Delhi,T092,Call Drop,Critical,Resolved,2025-01-02 16:00:00
TKT00008,2025-01-01 07:00:00,Delhi,T031,Call Drop,Critical,Resolved,2025-01-01 10:00:00
TKT00009,2025-01-01 08:00:00,Delhi,T009,Network Outage,Medium,Resolved,2025-01-02 08:00:00
TKT00010,2025-01-01 09:00:00,Hyderabad,T051,Call Drop,Low,Resolved,2025-01-03 03:00:00
TKT00011,2025-01-01 10:00:00,Bangalore,T029,No Service,Low,Resolved,2025-01-01 19:00:00
TKT00012,2025-01-01 11:00:00,Delhi,T078,High Latency,Medium,Resolved,2025-01-02 13:00:00
TKT00013,2025-01-01 12:00:00,Hyderabad,T040,No Service,Medium,Resolved,2025-01-02 08:00:00
TKT00014,2025-01-01 13:00:00,Mumbai,T041,No Service,Low,Resolved,2025-01-03 05:00:00
TKT00015,2025-01-01 14:00:00,Bangalore,T086,Call Drop,Critical,Open,
TKT00016,2025-01-01 15:00:00,Mumbai,T011,High Latency,High,Open,
TKT00017,2025-01-01 16:00:00,Bangalore,T023,Call Drop,High,Resolved,2025-01-02 02:00:00
TKT00018,2025-01-01 17:00:00,Hyderabad,T001,Slow Internet,High,Resolved,2025-01-02 12:00:00
TKT00019,2025-01-01 18:00:00,Pune,T046,Call Drop,Critical,In Progress,
TKT00020,2025-01-01 19:00:00,Bangalore,T021,Call Drop,Low,Resolved,2025-01-01 22:00:00
TKT00021,2025-01-01 20:00:00,Mumbai,T090,Call Drop,Medium,In Progress,
TKT00022,2025-01-01 21:00:00,Hyderabad,T036,High Latency,Low,Resolved,2025-01-02 21:00:00
TKT00023,2025-01-01 22:00:00,Bangalore,T054,Call Drop,Critical,Resolved,2025-01-02 03:00:00
TKT00024,2025-01-01 23:00:00,Pune,T087,High Latency,Medium,Open,
TKT00025,2025-01-02 00:00:00,Pune,T057,Network Outage,Critical,In Progress,
TKT00026,2025-01-02 01:00:00,Delhi,T001,Slow Internet,High,Resolved,2025-01-02 04:00:00
TKT00027,2025-01-02 02:00:00,Delhi,T063,High Latency,High,Resolved,2025-01-03 05:00:00
TKT00028,2025-01-02 03:00:00,Mumbai,T054,Network Outage,Critical,Resolved,2025-01-02 19:00:00
TKT00029,2025-01-02 04:00:00,Bangalore,T055,High Latency,Medium,Resolved,2025-01-02 19:00:00
TKT00030,2025-01-02 05:00:00,Bangalore,T040,High Latency,Medium,Resolved,2025-01-03 16:00:00
TKT00031,2025-01-02 06:00:00,Delhi,T015,Slow Internet,Low,Resolved,2025-01-02 18:00:00
TKT00032,2025-01-02 07:00:00,Bangalore,T021,No Service,High,In Progress,
TKT00033,2025-01-02 08:00:00,Bangalore,T047,No Service,Low,Resolved,2025-01-04 01:00:00
TKT00034,2025-01-02 09:00:00,Pune,T073,High Latency,Low,Resolved,2025-01-04 05:00:00
TKT00035,2025-01-02 10:00:00,Delhi,T053,Call Drop,Critical,Resolved,2025-01-03 12:00:00
TKT00036,2025-01-02 11:00:00,Hyderabad,T009,Network Outage,Critical,Resolved,2025-01-04 10:00:00
TKT00037,2025-01-02 12:00:00,Delhi,T074,Call Drop,Low,Resolved,2025-01-03 22:00:00
TKT00038,2025-01-02 13:00:00,Hyderabad,T052,Call Drop,High,Resolved,2025-01-03 12:00:00
TKT00039,2025-01-02 14:00:00,Pune,T057,High Latency,Critical,Resolved,2025-01-03 21:00:00
TKT00040,2025-01-02 15:00:00,Mumbai,T026,High Latency,Low,In Progress,
TKT00041,2025-01-02 16:00:00,Bangalore,T041,High Latency,Low,In Progress,
TKT00042,2025-01-02 17:00:00,Pune,T035,High Latency,Low,Resolved,2025-01-03 13:00:00
TKT00043,2025-01-02 18:00:00,Bangalore,T063,No Service,Low,In Progress,
TKT00044,2025-01-02 19:00:00,Mumbai,T025,High Latency,Low,Resolved,2025-01-03 07:00:00
TKT00045,2025-01-02 20:00:00,Mumbai,T090,No Service,Low,Resolved,2025-01-03 19:00:00
TKT00046,2025-01-02 21:00:00,Pune,T075,No Service,Critical,Resolved,2025-01-03 01:00:00
TKT00047,2025-01-02 22:00:00,Mumbai,T038,High Latency,High,Resolved,2025-01-03 21:00:00
TKT00048,2025-01-02 23:00:00,Hyderabad,T002,Slow Internet,Low,Resolved,2025-01-04 23:00:00
TKT00049,2025-01-03 00:00:00,Mumbai,T007,Network Outage,Medium,Open,
TKT00050,2025-01-03 01:00:00,Bangalore,T082,Call Drop,Critical,Resolved,2025-01-05 01:00:00
TKT00051,2025-01-03 02:00:00,Bangalore,T091,No Service,Critical,Open,
TKT00052,2025-01-03 03:00:00,Bangalore,T034,Network Outage,Low,Resolved,2025-01-03 04:00:00
TKT00053,2025-01-03 04:00:00,Bangalore,T091,Slow Internet,Critical,Resolved,2025-01-04 05:00:00
TKT00054,2025-01-03 05:00:00,Hyderabad,T017,Call Drop,Low,In Progress,
TKT00055,2025-01-03 06:00:00,Delhi,T043,Call Drop,High,Resolved,2025-01-03 08:00:00
TKT00056,2025-01-03 07:00:00,Pune,T059,No Service,High,Resolved,2025-01-04 13:00:00
TKT00057,2025-01-03 08:00:00,Bangalore,T051,High Latency,Critical,Resolved,2025-01-03 11:00:00
TKT00058,2025-01-03 09:00:00,Mumbai,T054,Slow Internet,Critical,Resolved,2025-01-04 06:00:00
TKT00059,2025-01-03 10:00:00,Bangalore,T024,No Service,Medium,Resolved,2025-01-04 11:00:00
TKT00060,2025-01-03 11:00:00,Mumbai,T025,Slow Internet,Critical,Resolved,2025-01-04 07:00:00
TKT00061,2025-01-03 12:00:00,Mumbai,T071,High Latency,Medium,Resolved,2025-01-04 10:00:00
TKT00062,2025-01-03 13:00:00,Bangalore,T052,High Latency,High,In Progress,
TKT00063,2025-01-03 14:00:00,Hyderabad,T070,No Service,High,Resolved,2025-01-04 11:00:00
TKT00064,2025-01-03 15:00:00,Mumbai,T088,High Latency,Low,Resolved,2025-01-05 00:00:00
